username,natives,learning
Santa203girlz,Korean,"Korean,Simplified Chinese (China),English (US)"
mt560,"Polish,English (US)","Czech,English (US)"
yelizyilsole,English (US),English (US)
Bowen0824,Simplified Chinese (China),"English (US),Japanese"
panicord24,"Kazakh,Russian","English (UK),Japanese,Spanish (Spain),Ukrainian"
Careyii,Simplified Chinese (China),"English (US),Japanese"
nxdinx,"English (UK),German",Korean
Canah,Japanese,"English (US),Czech"
akoiiz1,Arabic,"English (US),Japanese,Korean"
Bella_bell,English (US),English (US)
Sofiaqwert,Russian,German
MFLuder,Spanish (Spain),English (US)
playlife,Korean,Japanese
thalia01,"Spanish (Spain),English (US)",Korean
Bella00150062,English (US),English (US)
Dajana03,Italian,English (US)
kryztoffur,English (US),Korean
jiayinggao,Traditional Chinese (Taiwan),English (US)
vgxgbs,Polish,"English (US),French (France),Russian"
jacobsk,Spanish (Mexico),"English (US),French (France)"
playlife7433,Korean,Japanese
nedlegs,"English (US),Tagalog","French (France),Japanese,Spanish (Spain)"
usernarne,Korean,"English (US),Spanish (Spain)"
karolinasokol,Polish,"English (US),French (France),Italian"
gwy911008,Simplified Chinese (China),English (US)
Pampuszek,Polish,"English (UK),English (US)"
Nirvanalyc,Simplified Chinese (China),English (US)
zcxzzz,Traditional Chinese (Hong Kong),Japanese
angelinagerasimovich,Russian,"English (US),English (UK)"
Sandracram,Spanish (Mexico),"English (US),English (UK)"
garciakate188,Spanish (Mexico),"English (US),Korean"
SergeyBorovikov,Russian,English (US)
EmiKisara,Japanese,English (US)
Chippbar,Spanish (Chile),"English (US),Japanese"
SenpaiFV,German,Japanese
derevyashkinadana,Russian,"English (US),Norwegian (bokmal),Norwegian (nynorsk)"
2bdalilah,Arabic,English (US)
kiiiiimoto,Japanese,English (US)
mihye7433,Korean,Japanese
JAZZON94o7,Spanish (Colombia),Japanese
cruz0313,Spanish (Spain),Korean
Haiyen0805,Vietnamese,English (US)
koleiletongol,"English (US),Kiswahili","English (UK),Spanish (Spain)"
puichun0808,Traditional Chinese (Hong Kong),"English (US),Korean"
manojkhinchi,English (US),English (US)
yanaonyshko11,"Russian,Ukrainian","English (US),Norwegian (bokmal)"
scheztar,Spanish (Spain),English (US)
lisionok,Russian,English (US)
mona7uyr,Arabic,English (US)
marzo20km,Spanish (Colombia),English (US)
zinn,Simplified Chinese (China),"English (US),Japanese"
Evelina375,Russian,"English (US),Italian,Spanish (Spain),Russian"
abdulmged,Arabic,English (US)
fresh506,Simplified Chinese (China),"English (US),Japanese"
iansinaga,Indonesian,English (UK)
adaalkadi,Polish,"Arabic,English (US),Russian"
Naoko_i,Japanese,"English (US),Simplified Chinese (China)"
ramo,English (US),Arabic
ayu1645619,Traditional Chinese (Taiwan),English (US)
sia_K,"Polish,Russian,Ukrainian",Korean
shahad-ali,Arabic,English (US)
Venus18,Russian,English (UK)
Oleg667722,Russian,English (US)
juno65tw,Traditional Chinese (Taiwan),"English (US),French (France)"
andreevasasa89,Russian,English (US)
Camille71,French (France),English (US)
vikakim,Russian,"English (US),French (France),Italian,Japanese,Korean"
Dn3Yazeedii,"Arabic,English (US)",English (US)
graceli7,Simplified Chinese (China),English (US)
Shiyishiyi,Simplified Chinese (China),English (US)
o7v,Arabic,English (US)
Julietta1,Polish,"English (UK),Korean"
SweetSorrow120,Spanish (Colombia),Korean
Undead917,"Russian,Ukrainian","English (US),Japanese"
IBIN_ALII,Arabic,English (US)
mmm_Lin,"Simplified Chinese (China),Traditional Chinese (Hong Kong)",English (US)
jessicataylor,English (US),Indonesian
dllotuss88,Spanish (Mexico),Korean
Nana0725,Japanese,English (US)
Trook,Arabic,English (US)
fotoson,Traditional Chinese (Taiwan),English (US)
ppttnnnn,Simplified Chinese (China),English (US)
Disckord,Russian,"English (US),Japanese"
Victorialv,"Simplified Chinese (China),Traditional Chinese (Hong Kong)","English (US),Korean"
hajaking,Japanese,English (US)
GabrielToledo,Portuguese (Brazil),German
Nahom,English (US),English (US)
ajamieson16781,English (UK),Japanese
036x2,Japanese,English (US)
Zelinfer,Russian,"English (UK),Korean"
mr83,Russian,"English (UK),Spanish (Spain)"
nenagonzalez,"Spanish (Colombia),Spanish (Spain)",Korean
zekirzekiye,Turkish,"English (US),Korean"
Bianca_bnbn,Arabic,English (US)
xt3ban,Arabic,"English (UK),Spanish (Spain)"
Philstill,English (US),"Arabic,Hebrew"
ryoutarou,Japanese,English (US)
mengdong,Simplified Chinese (China),Japanese
rajni,Hindi,English (UK)
tmrslvn01,Indonesian,"English (UK),Korean"
nikshy_74,Polish,Japanese
rainiewuuuu,Simplified Chinese (China),English (US)
mayachan,English (UK),Japanese
svetbuffoon33,Russian,Simplified Chinese (China)
ZacharLEE,Simplified Chinese (China),"Arabic,English (US),Thai"
adqasim,English (US),French (Canada)
Taka-mats,Japanese,English (US)
mohanad82,Arabic,English (US)
966551674976,Arabic,Turkish
asd12312140,Traditional Chinese (Taiwan),English (US)
MehmetS,Turkish,English (UK)
co2fan,English (UK),Korean
Kristik512,"Russian,Ukrainian",Hungarian
KarinaC,Spanish (Mexico),"English (UK),English (US)"
ayaexo94n,"Arabic,English (US),Korean",Turkish
Rainbow_,Russian,English (US)
Mel-The-Queen,Spanish (Spain),"English (US),Japanese,Korean,Simplified Chinese (China)"
Wdqiuxj1993,Simplified Chinese (China),English (US)
Emidora,Japanese,English (US)
kathyop,Russian,English (US)
baes0303,Korean,"English (US),Japanese"
stko1212,Japanese,"English (US),Korean"
Adrenaline-,"Russian,Ukrainian","English (US),Simplified Chinese (China),Spanish (Spain)"
ddeeede997,Arabic,English (US)
anelee1275,"Russian,Ukrainian","English (UK),Japanese"
Raw_1993,Arabic,English (US)
Sasha28,Russian,English (UK)
Herbo,Traditional Chinese (Taiwan),English (US)
Milovasha,Russian,English (US)
rouci,Traditional Chinese (Taiwan),English (US)
luvlangkk,"Traditional Chinese (Hong Kong),Traditional Chinese (Taiwan)",Korean
mierzwinskib,Polish,"English (UK),Spanish (Spain)"
Ryoutaro,English (US),English (US)
shrooq_20,Arabic,"English (UK),English (US)"
rasulov25d,"Uzbek,Russian",English (UK)
lulupu,Simplified Chinese (China),Japanese
omaralmliki,Arabic,English (US)
nasri19972011,Arabic,"English (US),French (France)"
yurin,Vietnamese,"Japanese,English (US)"
_iill5v,Arabic,English (US)
shugylaava,Russian,"English (UK),Simplified Chinese (China)"
fredqin,Simplified Chinese (China),English (US)
555Hajer,Arabic,English (US)
PYIJ1yOnWbNLTpU,Japanese,English (US)
NicolasDong,Simplified Chinese (China),"English (US),French (France),Japanese,Korean"
yooniapark,"Arabic,English (UK),French (France)",Korean
Voile502,Simplified Chinese (China),"English (US),Japanese"
AngryOwl,Russian,English (US)
hrustalika10,"Russian,Spanish (Mexico)",English (US)
Jessicasvenson,English (US),Korean
marie11k,Japanese,English (US)
coutinholucas22,Portuguese (Portugal),English (US)
mixemanhinda,"Arabic,French (France)","English (US),Korean"
minnthwinkhant99,English (UK),"English (UK),French (France),Simplified Chinese (China),Latin,Spanish (Chile),Spanish (Colombia),Spanish (Mexico),Spanish (Spain),Spanish (Venezuela)"
jana0amal,Arabic,English (US)
kekhatkhao29071992,Vietnamese,English (US)
olyasharol,Russian,English (US)
AndreaRB99,Spanish (Mexico),"Catalan,Danish,English (UK),French (France),German,Italian,Russian"
icecreamlover0612,English (US),Korean
aseelaaljarthy27,Arabic,"English (UK),Spanish (Spain)"
farida1993,Russian,English (US)
Nidron,Swedish,Japanese
NinaS,English (US),English (US)
Hv3Fe,Arabic,English (US)
hunra7,Arabic,English (UK)
Lilli_hg,"English (UK),English (US),German","French (France),Japanese,Korean"
Yuki_Yu,Traditional Chinese (Hong Kong),Japanese
picsexynolove,Vietnamese,English (US)
ElizavetaGarash,Russian,"Norwegian (bokmal),Norwegian (nynorsk),English (US),French (France)"
Rachelea,English (UK),"French (France),Irish"
emilyyuuu,Korean,"English (US),French (France)"
Sugahu,Japanese,English (US)
rachidgaza,"Arabic,French (France)","English (UK),English (US)"
joody499,Arabic,English (US)
eslam00137,Arabic,English (US)
momo930226,Simplified Chinese (China),English (UK)
NataliaPatrycja,Polish,"English (US),French (France)"
karlaadams64,Spanish (Mexico),English (US)
ProgramingCat,Simplified Chinese (China),"English (US),English (UK),Japanese"
Ebrahim7,Arabic,English (US)
ariunaa_sky,"English (US),Mongolian","Russian,Spanish (Spain)"
Lola2103,French (France),"English (US),Spanish (Spain),English (UK)"
wang1111,Traditional Chinese (Taiwan),"English (US),Japanese,Simplified Chinese (China),Traditional Chinese (Hong Kong)"
azimkarimov1991,Russian,English (US)
huyenphuong,Vietnamese,Japanese
Programing_cat,Simplified Chinese (China),English (US)
Mmelissina,Russian,English (US)
mmdvak,English (US),Russian
Spnsrz,Armenian,English (US)
AriannaClau,Spanish (Spain),"English (UK),French (France)"
Ajeng123,English (US),English (US)
AlyonaMarvel,Russian,"English (US),Korean"
EasonSummer,Simplified Chinese (China),Thai
habib2929,Arabic,English (UK)
Maick,Portuguese (Brazil),English (US)
PattyK,Polish,"Korean,English (UK)"
aronovanastya1410,Russian,Hebrew
rekahosszu,Hungarian,"English (US),German,Japanese"
Sophie200,Russian,Korean
huanlinlin,Simplified Chinese (China),Russian
Tidtor,"English (UK),Laotian,Thai","German,Russian"
altynaysultanova0,Russian,English (US)
Nathalieee,Traditional Chinese (Taiwan),"English (US),French (France),Korean"
rubamo7amedsalman,Arabic,"English (US),Italian,Turkish"
zhekshenalievae,Russian,"English (US),Simplified Chinese (China)"
sezginstiann,Turkish,"English (US),German,Spanish (Spain)"
Veronika29,"English (US),Russian",Korean
ShunShun0401,Japanese,English (US)
Carljobs,Traditional Chinese (Taiwan),English (UK)
AnaRikke,Russian,"English (US),French (France),Kazakh"
MissDaNa,Thai,"Arabic,English (US)"
esraomarr,"Arabic,English (US)",English (US)
belkamalina,Russian,English (US)
winky1126,Traditional Chinese (Hong Kong),English (US)
Nashely,Spanish (Mexico),English (US)
epeckina8,Russian,"English (US),French (France),German,Polish"
OneKim,Korean,"English (US),Japanese"
huanghsinyi269,Traditional Chinese (Taiwan),"English (US),Japanese"
tekey1223,Traditional Chinese (Taiwan),Japanese
elizabeth_04,Russian,Korean
l93346137,Simplified Chinese (China),Japanese
WebPixellion,English (US),English (US)
Angelika8500,"English (UK),German","Korean,Japanese"
Nadusha,Russian,English (US)
YuliaSko,Russian,Korean
Nara7,Simplified Chinese (China),"English (US),Korean,Traditional Chinese (Taiwan)"
iamroyaloff,Russian,English (US)
arifcceppay,Indonesian,"English (UK),English (US),German,Japanese"
_Liss_,Russian,English (US)
lhjzunzhe,Simplified Chinese (China),English (UK)
whynot3333,Korean,"English (US),Japanese"
ililx10,Arabic,"Estonian,Turkish"
luizsilv,Portuguese (Brazil),English (US)
Jimmy2682,Traditional Chinese (Taiwan),Korean
demh,Arabic,English (US)
labiadhnour85,Arabic,"English (UK),English (US),French (France),German,Turkish"
mynameiselena,English (US),"Indonesian,Italian,Japanese,Korean"
ilaila38,Vietnamese,English (US)
Irismy,English (US),English (US)
Kruci1337,"English (UK),Polish",Japanese
BlucoaTT5,"English (UK),Traditional Chinese (Hong Kong)","English (UK),German"
Tippu,Japanese,English (US)
godwinnerF7,Simplified Chinese (China),Japanese
dima19972525,Russian,English (US)
Polly06,Russian,French (France)
sheriff_bigby,"English (US),Traditional Chinese (Taiwan)",Japanese
Mojahed0022,Arabic,English (US)
gitarasiema,Polish,Japanese
piotr77,Polish,English (US)
Fernnnn,English (UK),Thai
SavAlisa,Russian,Spanish (Spain)
Mrsmyuslya,Russian,"English (US),Simplified Chinese (China),Turkish"
wiut7,Russian,English (US)
goritkomakar,Russian,"English (US),Korean"
1101927322,Simplified Chinese (China),English (US)
asheei,Tagalog,Korean
HIROSHIMIT,Traditional Chinese (Taiwan),"English (US),Japanese"
pooooomme,Japanese,"English (US),Italian"
adelinewong0419,Traditional Chinese (Taiwan),"Japanese,Traditional Chinese (Hong Kong),Traditional Chinese (Taiwan)"
yansummery,,
hopesan8523,"Simplified Chinese (China),Traditional Chinese (Taiwan)",Japanese
f5amh121de,Arabic,English (US)
lizzaa11,Russian,English (US)
alhajmu700,Arabic,English (US)
MtGytaU2KR8BVhZ,Simplified Chinese (China),English (US)
hannacupcake,"English (US),German","Korean,Spanish (Spain)"
adrimgr22,Spanish (Spain),"English (US),Japanese"
buo66066,Japanese,English (US)
yansummery93,Simplified Chinese (China),Turkish
Mika6,Russian,Korean
RadRR,Polish,German
FDX,Simplified Chinese (China),Japanese
wjk826211,Simplified Chinese (China),Russian
agassi2134,Russian,Korean
HowardTsai10,"Traditional Chinese (Taiwan),English (US)","English (US),Korean"
22_mdx,Arabic,English (US)
bayanf20,Arabic,English (US)
Jonasf,German,"English (US),Japanese,Korean"
SOK1,Japanese,Korean
kdejesussoto,English (US),"Frisian,Japanese"
Cathy724,Traditional Chinese (Taiwan),Japanese
allexis256,"Belarusian,Russian",Polish
chami2526,Japanese,English (US)
Alex_Pak,Russian,"English (US),Korean"
Alina1321,Russian,"English (US),Japanese,Latvian,Spanish (Spain)"
Dionisio,English (US),"French (France),German,Japanese,Korean,Portuguese (Brazil),Spanish (Chile)"
Mitsuyuki,Japanese,English (US)
NataliiaS,Russian,French (France)
kentarohnakamura,Japanese,English (US)
nyamkk,Russian,"English (UK),Italian"
ziedibrahim75,Arabic,French (France)
MiguelFalcon,Spanish (Spain),"German,Italian"
batomunkuevaviktoria,Russian,English (US)
Odiseya,Russian,"English (UK),Korean,Japanese"
oliwiapitschman,Polish,English (US)
aba_ade,Arabic,English (US)
Skam10,Russian,Norwegian (nynorsk)
miyeonniii,French (France),Korean
hinata_shouyou,"Traditional Chinese (Taiwan),English (UK)","Korean,Japanese"
NathanaeI,Indonesian,English (US)
Craig0081,Simplified Chinese (China),"English (US),Japanese"
Theory_of_soul,Russian,English (UK)
ewasek,Polish,English (US)
PolNast,Russian,"English (US),Korean"
xialinnam,Korean,Simplified Chinese (China)
Tverssofi,Russian,"English (US),German"
houmod999,Arabic,English (US)
77Nejai,"Arabic,Turkish",English (US)
fellpecruz638,Portuguese (Portugal),"English (US),Russian"
ting0210,Simplified Chinese (China),Japanese
Kotarobin,Japanese,English (US)
yunfangwu,Traditional Chinese (Taiwan),"English (US),French (France),German,Japanese,Spanish (Spain)"
takuropolarbear,Japanese,"English (US),Spanish (Spain)"
tintin04027,"Simplified Chinese (China),Traditional Chinese (Hong Kong)","English (US),Japanese,Spanish (Chile)"
yuiogawa,Japanese,English (US)
pixelplxnts,German,Japanese
bongbay,Vietnamese,English (US)
sasamo,Japanese,English (US)
franski2010,Spanish (Spain),English (UK)
fractals,English (US),English (US)
MeganeYami,German,Japanese
mshal_hmood,Arabic,English (US)
violetcrystal,Traditional Chinese (Taiwan),Korean
Yoyo-Kikuchi,Japanese,English (US)
yskt_zm,Japanese,"English (US),Korean"
ratwi,Russian,"English (UK),English (US),French (France)"
Anatoly85,Russian,English (US)
1025,English (US),English (US)
kellywangtw,Traditional Chinese (Taiwan),"English (US),German,Korean,Polish"
LudmilaSviridova123,Russian,"English (US),French (France)"
skni,Traditional Chinese (Taiwan),"English (UK),English (US)"
ayudiaginipravisya,Indonesian,"Dutch,English (UK)"
Fehler,German,Japanese
Vinogradinka,Russian,English (US)
KieNakamura,Japanese,English (US)
nataglebova2001,Russian,"English (US),Norwegian (bokmal)"
grazioso,"English (US),Malay","Japanese,Simplified Chinese (China)"
Yoshitaka18,Japanese,English (US)
darrenjap,Simplified Chinese (China),Japanese
sylvia1118,"Japanese,Simplified Chinese (China)","English (US),Korean"
evalukacs,Hungarian,English (UK)
Vanessa31071027,"English (US),Traditional Chinese (Taiwan)","English (US),Korean"
ankang,Simplified Chinese (China),"English (US),Japanese,Korean"
ib0204rby,Japanese,English (US)
iixkahled,Arabic,English (US)
liw897,Polish,English (UK)
Bibigul,"Kazakh,Russian","English (US),Korean"
Krusty,"Tagalog,English (US)","Japanese,Traditional Chinese (Taiwan)"
Taka0626,Japanese,"English (US),French (France),Spanish (Spain)"
Abdull77A55,Arabic,English (US)
adxchi,English (UK),"Malay,Malay"
MatheusReghin,Portuguese (Brazil),"English (US),German,Italian,Japanese,Latin"
ajemily,"English (US),Polish",Swedish
mahal_123112131313,"Arabic,English (UK),English (US)",Arabic
Nikkied,English (UK),Korean
Yeefen,English (UK),Japanese
ghaithsa12,Arabic,"Arabic,English (US)"
tyroff,English (US),English (US)
Yangll,Simplified Chinese (China),English (US)
athokpamsunder,English (US),Hindi
fzfybb,Arabic,"English (US),Korean"
Tomas74,Polish,German
RNadja,Russian,German
malaaak004,Arabic,English (US)
lengocthuyhang,Vietnamese,English (US)
londata,Traditional Chinese (Taiwan),"English (US),Traditional Chinese (Hong Kong)"
mustafa_363,"Arabic,English (US)",Japanese
jennia,English (UK),Korean
